Epoch 1, Loss G:  1.5783,Loss D: -0.0318
Epoch 2, Loss G:  1.5094,Loss D: -0.0919
Epoch 3, Loss G:  1.4547,Loss D: -0.1335
Epoch 4, Loss G:  1.4394,Loss D: -0.2257
Epoch 5, Loss G:  1.5020,Loss D: -0.3567
Epoch 6, Loss G:  1.4391,Loss D: -0.4443
Epoch 7, Loss G:  1.4530,Loss D: -0.5505
Epoch 8, Loss G:  1.4030,Loss D: -0.6627
Epoch 9, Loss G:  1.3550,Loss D: -0.7377
Epoch 10, Loss G:  1.3074,Loss D: -0.8453
Epoch 11, Loss G:  1.2754,Loss D: -0.9512
Epoch 12, Loss G:  1.2597,Loss D: -1.0635
Epoch 13, Loss G:  1.1584,Loss D: -0.9230
Epoch 14, Loss G:  1.1880,Loss D: -1.0948
Epoch 15, Loss G:  1.0085,Loss D: -1.2237
Epoch 16, Loss G:  0.8886,Loss D: -1.0254
Epoch 17, Loss G:  0.7658,Loss D: -1.0700
Epoch 18, Loss G:  0.6100,Loss D: -1.0849
Epoch 19, Loss G:  0.7382,Loss D: -1.2299
Epoch 20, Loss G:  0.6309,Loss D: -1.1281
Epoch 21, Loss G:  0.5789,Loss D: -1.3888
Epoch 22, Loss G:  0.3745,Loss D: -1.1717
Epoch 23, Loss G:  0.4577,Loss D: -0.9076
Epoch 24, Loss G:  0.3016,Loss D: -0.5945
Epoch 25, Loss G:  0.4152,Loss D: -0.7392
Epoch 26, Loss G:  0.1215,Loss D: -0.7329
Epoch 27, Loss G:  0.3860,Loss D: -0.6918
Epoch 28, Loss G:  0.1766,Loss D: -0.1082
Epoch 29, Loss G: -0.1276,Loss D: -0.3807
Epoch 30, Loss G:  0.0653,Loss D: -0.1502
Epoch 31, Loss G: -0.3139,Loss D: -0.2286
Epoch 32, Loss G: -0.2792,Loss D:  0.0175
Epoch 33, Loss G: -0.0439,Loss D:  0.1143
Epoch 34, Loss G: -0.2273,Loss D:  0.3710
Epoch 35, Loss G: -0.1582,Loss D:  0.0503
Epoch 36, Loss G: -0.3693,Loss D: -0.1644
Epoch 37, Loss G: -0.4264,Loss D: -0.0155
Epoch 38, Loss G: -0.3801,Loss D:  0.1119
Epoch 39, Loss G: -0.7843,Loss D:  0.3930
Epoch 40, Loss G: -0.3996,Loss D:  0.0670
Epoch 41, Loss G: -0.4002,Loss D:  0.0925
Epoch 42, Loss G: -0.3969,Loss D:  0.2765
Epoch 43, Loss G: -0.4157,Loss D:  0.2627
Epoch 44, Loss G: -0.1509,Loss D:  0.2063
Epoch 45, Loss G: -0.3832,Loss D:  0.0469
Epoch 46, Loss G: -0.2167,Loss D:  0.2925
Epoch 47, Loss G: -0.1307,Loss D:  0.0135
Epoch 48, Loss G:  0.0632,Loss D:  0.0329
Epoch 49, Loss G: -0.1453,Loss D: -0.1517
Epoch 50, Loss G: -0.1298,Loss D:  0.4195
Epoch 51, Loss G: -0.1450,Loss D:  0.2048
Epoch 52, Loss G: -0.3168,Loss D:  0.2979
Epoch 53, Loss G: -0.3627,Loss D:  0.2718
Epoch 54, Loss G: -0.1466,Loss D:  0.1862
Epoch 55, Loss G: -0.0755,Loss D: -0.0183
Epoch 56, Loss G: -0.1985,Loss D:  0.2792
Epoch 57, Loss G: -0.3461,Loss D:  0.1796
Epoch 58, Loss G: -0.0889,Loss D:  0.3822
Epoch 59, Loss G: -0.2377,Loss D:  0.5194
Epoch 60, Loss G: -0.3125,Loss D:  0.1887
Epoch 61, Loss G: -0.1000,Loss D:  0.3620
Epoch 62, Loss G: -0.0662,Loss D:  0.5821
Epoch 63, Loss G: -0.1583,Loss D:  0.1911
Epoch 64, Loss G: -0.1169,Loss D:  0.2051
Epoch 65, Loss G: -0.1316,Loss D:  0.0826
Epoch 66, Loss G: -0.0098,Loss D: -0.0448
Epoch 67, Loss G: -0.0736,Loss D:  0.0504
Epoch 68, Loss G: -0.0427,Loss D: -0.1369
