Epoch 1, Loss G:  0.9971,Loss D: -0.0169
Epoch 2, Loss G:  0.9353,Loss D: -0.0881
Epoch 3, Loss G:  0.9573,Loss D: -0.1004
Epoch 4, Loss G:  0.9942,Loss D: -0.2462
Epoch 5, Loss G:  1.0408,Loss D: -0.2911
Epoch 6, Loss G:  0.9592,Loss D: -0.3186
Epoch 7, Loss G:  1.0114,Loss D: -0.4250
Epoch 8, Loss G:  0.9230,Loss D: -0.6473
Epoch 9, Loss G:  0.9657,Loss D: -0.6388
Epoch 10, Loss G:  0.8489,Loss D: -0.5879
Epoch 11, Loss G:  0.6843,Loss D: -0.8076
Epoch 12, Loss G:  0.7185,Loss D: -0.8248
Epoch 13, Loss G:  0.7952,Loss D: -1.0186
Epoch 14, Loss G:  0.6128,Loss D: -0.7827
Epoch 15, Loss G:  0.4956,Loss D: -0.8963
Epoch 16, Loss G:  0.3882,Loss D: -0.8707
Epoch 17, Loss G:  0.5160,Loss D: -0.8770
Epoch 18, Loss G:  0.2096,Loss D: -0.9181
Epoch 19, Loss G:  0.0448,Loss D: -0.7681
Epoch 20, Loss G:  0.1117,Loss D: -0.9474
Epoch 21, Loss G: -0.1575,Loss D: -0.5748
Epoch 22, Loss G: -0.2870,Loss D: -0.8711
Epoch 23, Loss G: -0.4937,Loss D: -0.5570
Epoch 24, Loss G: -0.5448,Loss D: -0.6214
Epoch 25, Loss G: -0.6345,Loss D: -0.0690
Epoch 26, Loss G: -0.6951,Loss D: -0.3641
Epoch 27, Loss G: -0.7701,Loss D: -0.1412
Epoch 28, Loss G: -1.0733,Loss D: -0.3234
Epoch 29, Loss G: -1.0029,Loss D: -0.3968
Epoch 30, Loss G: -0.9460,Loss D: -0.4531
Epoch 31, Loss G: -1.1111,Loss D: -0.3063
Epoch 32, Loss G: -1.2484,Loss D: -0.2231
Epoch 33, Loss G: -1.1522,Loss D: -0.0909
Epoch 34, Loss G: -1.4461,Loss D:  0.1214
Epoch 35, Loss G: -1.1979,Loss D: -0.1957
Epoch 36, Loss G: -1.0063,Loss D:  0.0616
Epoch 37, Loss G: -1.3095,Loss D:  0.2297
Epoch 38, Loss G: -1.5038,Loss D:  0.2321
Epoch 39, Loss G: -1.4603,Loss D:  0.2159
Epoch 40, Loss G: -1.3913,Loss D:  0.2602
Epoch 41, Loss G: -1.6655,Loss D:  0.5123
Epoch 42, Loss G: -1.5231,Loss D:  0.7180
Epoch 43, Loss G: -1.4707,Loss D:  0.6476
Epoch 44, Loss G: -1.5102,Loss D:  0.4227
Epoch 45, Loss G: -1.4901,Loss D:  0.4066
Epoch 46, Loss G: -1.4015,Loss D:  0.2822
Epoch 47, Loss G: -1.4291,Loss D:  0.3432
Epoch 48, Loss G: -1.2227,Loss D:  0.3282
Epoch 49, Loss G: -1.2178,Loss D:  0.1291
Epoch 50, Loss G: -1.4329,Loss D:  0.3889
Epoch 51, Loss G: -1.2950,Loss D:  0.3241
Epoch 52, Loss G: -0.9941,Loss D:  0.1583
Epoch 53, Loss G: -1.1559,Loss D: -0.0487
Epoch 54, Loss G: -0.7509,Loss D:  0.0788
Epoch 55, Loss G: -0.8609,Loss D: -0.2226
Epoch 56, Loss G: -0.6309,Loss D: -0.2676
Epoch 57, Loss G: -0.4978,Loss D: -0.4426
Epoch 58, Loss G: -0.4812,Loss D: -0.3056
Epoch 59, Loss G: -0.5012,Loss D: -0.0776
Epoch 60, Loss G: -0.6395,Loss D: -0.1502
Epoch 61, Loss G: -0.6035,Loss D: -0.2001
Epoch 62, Loss G: -0.4562,Loss D:  0.0753
Epoch 63, Loss G: -0.5335,Loss D: -0.1815
Epoch 64, Loss G: -0.5124,Loss D:  0.0756
Epoch 65, Loss G: -0.4961,Loss D:  0.3014
Epoch 66, Loss G: -0.6625,Loss D:  0.3184
Epoch 67, Loss G: -0.5499,Loss D:  0.1617
Epoch 68, Loss G: -0.7076,Loss D:  0.5187
Epoch 69, Loss G: -0.4398,Loss D:  0.7807
Epoch 70, Loss G: -0.7496,Loss D:  0.2233
Epoch 71, Loss G: -0.6267,Loss D:  0.5819
Epoch 72, Loss G: -0.4108,Loss D:  0.6594
Epoch 73, Loss G: -0.2923,Loss D:  0.5361
Epoch 74, Loss G: -0.3259,Loss D:  0.5665
Epoch 75, Loss G: -0.3112,Loss D:  0.6205
Epoch 76, Loss G: -0.3046,Loss D:  0.4148
Epoch 77, Loss G: -0.1783,Loss D:  0.3923
Epoch 78, Loss G: -0.0921,Loss D:  0.2854
Epoch 79, Loss G:  0.1139,Loss D:  0.2472
Epoch 80, Loss G:  0.3946,Loss D:  0.0467
Epoch 81, Loss G:  0.4587,Loss D:  0.0183
Epoch 82, Loss G:  0.4801,Loss D:  0.1015
Epoch 83, Loss G:  0.6160,Loss D:  0.0284
Epoch 84, Loss G:  0.6426,Loss D:  0.1786
Epoch 85, Loss G:  0.7907,Loss D: -0.1006
Epoch 86, Loss G:  0.7280,Loss D: -0.1564
Epoch 87, Loss G:  0.6229,Loss D: -0.0014
Epoch 88, Loss G:  0.8013,Loss D: -0.3670
Epoch 89, Loss G:  0.7801,Loss D:  0.1135
Epoch 90, Loss G:  0.5955,Loss D:  0.0629
Epoch 91, Loss G:  0.2416,Loss D:  0.0530
Epoch 92, Loss G:  0.3587,Loss D:  0.1658
Epoch 93, Loss G:  0.3809,Loss D:  0.1025
Epoch 94, Loss G:  0.2612,Loss D:  0.2941
Epoch 95, Loss G:  0.3106,Loss D:  0.2878
Epoch 96, Loss G:  0.2666,Loss D:  0.4990
Epoch 97, Loss G:  0.2805,Loss D:  0.6583
Epoch 98, Loss G:  0.0995,Loss D:  0.5767
Epoch 99, Loss G:  0.1342,Loss D:  0.4836
Epoch 100, Loss G: -0.0413,Loss D:  0.4822
Epoch 101, Loss G: -0.0096,Loss D:  0.3978
Epoch 102, Loss G: -0.2440,Loss D:  0.4067
Epoch 103, Loss G:  0.1090,Loss D:  0.4968
Epoch 104, Loss G: -0.1008,Loss D:  0.3630
Epoch 105, Loss G: -0.0059,Loss D:  0.3194
Epoch 106, Loss G: -0.0438,Loss D:  0.1204
Epoch 107, Loss G: -0.0618,Loss D:  0.1382
Epoch 108, Loss G: -0.0563,Loss D:  0.0716
Epoch 109, Loss G: -0.0022,Loss D: -0.0586
Epoch 110, Loss G: -0.1558,Loss D: -0.4253
Epoch 111, Loss G: -0.2255,Loss D: -0.1044
Epoch 112, Loss G: -0.2002,Loss D: -0.3612
Epoch 113, Loss G: -0.1601,Loss D: -0.4546
Epoch 114, Loss G: -0.3478,Loss D: -0.0617
Epoch 115, Loss G: -0.3513,Loss D: -0.2219
Epoch 116, Loss G: -0.6407,Loss D: -0.3160
Epoch 117, Loss G: -0.6579,Loss D: -0.3720
Epoch 118, Loss G: -0.8437,Loss D: -0.4848
Epoch 119, Loss G: -0.8520,Loss D: -0.2754
Epoch 120, Loss G: -1.0844,Loss D: -0.3142
Epoch 121, Loss G: -1.4020,Loss D: -0.0882
Epoch 122, Loss G: -1.6763,Loss D:  0.0037
Epoch 123, Loss G: -1.5877,Loss D:  0.1353
Epoch 124, Loss G: -1.7244,Loss D:  0.2649
Epoch 125, Loss G: -1.8334,Loss D:  0.3617
Epoch 126, Loss G: -2.0149,Loss D:  0.6999
Epoch 127, Loss G: -2.3012,Loss D:  0.0446
Epoch 128, Loss G: -2.3555,Loss D:  0.6585
Epoch 129, Loss G: -2.1623,Loss D:  0.9262
Epoch 130, Loss G: -2.5843,Loss D:  0.7834
Epoch 131, Loss G: -2.5721,Loss D:  0.8399
Epoch 132, Loss G: -2.2684,Loss D:  0.3370
Epoch 133, Loss G: -2.1645,Loss D:  0.2607
Epoch 134, Loss G: -2.2761,Loss D:  0.0754
Epoch 135, Loss G: -2.0000,Loss D: -0.0430
Epoch 136, Loss G: -1.7493,Loss D: -0.3033
Epoch 137, Loss G: -1.6185,Loss D:  0.0428
Epoch 138, Loss G: -1.6879,Loss D: -0.4614
Epoch 139, Loss G: -1.3139,Loss D: -0.2781
Epoch 140, Loss G: -1.5517,Loss D: -0.5944
Epoch 141, Loss G: -1.4170,Loss D: -0.8791
Epoch 142, Loss G: -1.2619,Loss D: -0.8869
Epoch 143, Loss G: -1.5207,Loss D: -1.0047
Epoch 144, Loss G: -1.1449,Loss D: -0.5429
Epoch 145, Loss G: -1.3880,Loss D: -0.3187
Epoch 146, Loss G: -1.5182,Loss D: -0.5810
Epoch 147, Loss G: -1.5655,Loss D: -0.2301
Epoch 148, Loss G: -1.8137,Loss D: -0.2116
Epoch 149, Loss G: -1.8848,Loss D:  0.4935
Epoch 150, Loss G: -2.3076,Loss D:  0.2734
Epoch 151, Loss G: -2.1725,Loss D:  0.7902
Epoch 152, Loss G: -2.4263,Loss D:  0.6749
Epoch 153, Loss G: -2.4484,Loss D:  1.0497
Epoch 154, Loss G: -2.6091,Loss D:  0.8424
Epoch 155, Loss G: -2.4528,Loss D:  1.0736
Epoch 156, Loss G: -2.7534,Loss D:  0.6220
Epoch 157, Loss G: -2.5648,Loss D:  1.1568
Epoch 158, Loss G: -2.5559,Loss D:  0.8219
Epoch 159, Loss G: -2.5219,Loss D:  0.4430
Epoch 160, Loss G: -2.2588,Loss D:  0.7569
Epoch 161, Loss G: -2.0947,Loss D:  0.4555
Epoch 162, Loss G: -1.9296,Loss D:  0.1023
Epoch 163, Loss G: -1.8100,Loss D:  0.1228
Epoch 164, Loss G: -1.8026,Loss D: -0.2187
Epoch 165, Loss G: -1.4159,Loss D: -0.7183
Epoch 166, Loss G: -1.7360,Loss D: -0.7745
Epoch 167, Loss G: -1.7920,Loss D: -1.2475
Epoch 168, Loss G: -1.6673,Loss D: -0.9868
Epoch 169, Loss G: -1.5480,Loss D: -0.9859
Epoch 170, Loss G: -1.8017,Loss D: -0.7784
Epoch 171, Loss G: -1.6241,Loss D: -0.8307
Epoch 172, Loss G: -2.3020,Loss D: -0.7485
Epoch 173, Loss G: -1.9651,Loss D:  0.0431
Epoch 174, Loss G: -2.3494,Loss D:  0.0504
Epoch 175, Loss G: -2.6882,Loss D: -0.1151
Epoch 176, Loss G: -2.8996,Loss D:  0.0771
