Epoch 1, Loss G:  1.6355,Loss D: -0.0173
Epoch 2, Loss G:  1.6605,Loss D: -0.1357
Epoch 3, Loss G:  1.6461,Loss D: -0.2253
Epoch 4, Loss G:  1.7200,Loss D: -0.2924
Epoch 5, Loss G:  1.7715,Loss D: -0.3800
Epoch 6, Loss G:  1.7478,Loss D: -0.4441
Epoch 7, Loss G:  1.7818,Loss D: -0.5872
Epoch 8, Loss G:  1.8868,Loss D: -0.7656
Epoch 9, Loss G:  1.8715,Loss D: -0.8863
Epoch 10, Loss G:  2.0598,Loss D: -1.1009
Epoch 11, Loss G:  2.0532,Loss D: -1.1851
Epoch 12, Loss G:  2.1022,Loss D: -1.2994
Epoch 13, Loss G:  2.1371,Loss D: -1.5381
Epoch 14, Loss G:  2.0663,Loss D: -1.6562
Epoch 15, Loss G:  2.2765,Loss D: -1.6142
Epoch 16, Loss G:  2.1665,Loss D: -1.9191
Epoch 17, Loss G:  2.1619,Loss D: -2.1828
Epoch 18, Loss G:  2.2808,Loss D: -2.0141
Epoch 19, Loss G:  2.2460,Loss D: -2.1131
Epoch 20, Loss G:  2.3200,Loss D: -2.3627
Epoch 21, Loss G:  2.3312,Loss D: -2.2383
Epoch 22, Loss G:  2.4486,Loss D: -2.2576
Epoch 23, Loss G:  2.3827,Loss D: -2.3261
Epoch 24, Loss G:  2.4413,Loss D: -2.3664
Epoch 25, Loss G:  2.2991,Loss D: -2.8701
Epoch 26, Loss G:  2.2924,Loss D: -2.7168
Epoch 27, Loss G:  2.5484,Loss D: -3.0467
Epoch 28, Loss G:  2.4497,Loss D: -2.8334
Epoch 29, Loss G:  2.2499,Loss D: -2.9643
Epoch 30, Loss G:  2.1384,Loss D: -2.8809
Epoch 31, Loss G:  2.1876,Loss D: -2.7490
Epoch 32, Loss G:  2.4879,Loss D: -2.7811
Epoch 33, Loss G:  2.0151,Loss D: -3.0565
Epoch 34, Loss G:  2.0841,Loss D: -2.8537
Epoch 35, Loss G:  2.1221,Loss D: -2.4147
Epoch 36, Loss G:  2.0672,Loss D: -2.5675
Epoch 37, Loss G:  2.1307,Loss D: -2.6793
Epoch 38, Loss G:  1.7891,Loss D: -2.2225
Epoch 39, Loss G:  1.6427,Loss D: -2.4471
Epoch 40, Loss G:  1.5323,Loss D: -2.2069
Epoch 41, Loss G:  1.5092,Loss D: -1.7708
Epoch 42, Loss G:  1.5368,Loss D: -1.9575
Epoch 43, Loss G:  1.5947,Loss D: -2.0546
Epoch 44, Loss G:  1.5715,Loss D: -1.8671
Epoch 45, Loss G:  1.2232,Loss D: -1.9476
Epoch 46, Loss G:  1.6331,Loss D: -1.6531
Epoch 47, Loss G:  1.4348,Loss D: -1.7768
Epoch 48, Loss G:  1.4456,Loss D: -1.6123
